offer_id_rec,viewed_rate,completed_rate,tra_offer_infl,valid_view_rate,completed_after_view_rate,reward_won,user_id
7.0,1.0,0.0,49.39,1.0,,0.0,3
3.0,1.0,1.0,19.89,1.0,1.0,5.0,3
0.0,1.0,1.0,21.72,1.0,1.0,10.0,3
8.0,1.0,1.0,0.0,1.0,0.0,5.0,3
4.0,1.0,0.0,1.09,1.0,,0.0,4
2.0,1.0,0.0,0.0,1.0,,0.0,4
7.0,0.0,0.0,0.0,,,0.0,4
9.0,1.0,0.0,0.0,1.0,,0.0,5
2.0,0.0,0.0,0.0,,,0.0,5
3.0,1.0,1.0,0.0,1.0,1.0,5.0,5
6.0,1.0,1.0,18.42,1.0,1.0,2.0,5
9.0,1.0,0.0,0.0,1.0,,0.0,6
2.0,1.0,0.0,0.0,1.0,,0.0,6
1.0,1.0,0.0,0.0,1.0,,0.0,6
6.0,1.0,0.0,0.0,1.0,,0.0,6
5.0,1.0,0.0,0.19,1.0,,0.0,7
9.0,1.0,0.0,0.0,1.0,,0.0,7
1.0,1.0,0.0,0.0,1.0,,0.0,7
3.0,1.0,0.0,0.05,1.0,,0.0,7
0.0,0.0,0.0,0.0,,,0.0,7
9.0,1.0,1.0,15.63,1.0,1.0,2.0,8
3.0,1.0,1.0,0.0,1.0,1.0,5.0,8
8.0,1.0,1.0,9.54,1.0,1.0,10.0,8
6.0,1.0,1.0,11.26,1.0,1.0,2.0,8
5.0,1.0,0.0,6.4,1.0,,0.0,10
0.0,1.0,1.0,54.61,1.0,1.0,10.0,10
5.0,1.0,0.0,2.32,1.0,,0.0,12
2.0,0.0,0.0,0.0,,,0.0,12
6.0,1.0,1.0,12.43,1.0,1.0,2.0,12
4.0,1.0,0.0,0.0,1.0,,0.0,13
1.0,1.0,1.0,12.33,1.0,1.0,10.0,13
7.0,1.0,0.0,0.0,1.0,,0.0,13
0.0,1.0,1.0,0.0,1.0,0.0,10.0,13
8.0,1.0,1.0,12.56,1.0,1.0,5.0,13
4.0,1.0,0.0,0.0,1.0,,0.0,15
5.0,1.0,1.0,27.58,1.0,1.0,6.0,15
6.0,1.0,1.0,24.87,1.0,1.0,2.0,15
4.0,1.0,0.0,0.12,1.0,,0.0,17
5.0,1.0,0.0,0.0,1.0,,0.0,17
1.0,1.0,0.0,0.0,1.0,,0.0,17
7.0,1.0,0.0,0.0,1.0,,0.0,17
0.0,1.0,0.0,0.55,1.0,,0.0,17
4.0,1.0,0.0,3.38,1.0,,0.0,3746
9.0,1.0,0.0,2.46,1.0,,0.0,3746
8.0,1.0,0.0,7.550000000000001,1.0,,0.0,3746
4.0,1.0,1.0,32.31,1.0,1.0,5.0,21
2.0,1.0,0.0,30.0,1.0,,0.0,21
0.0,1.0,1.0,0.0,1.0,1.0,10.0,21
2.0,1.0,0.0,32.15,1.0,,0.0,22
1.0,1.0,0.0,0.0,1.0,,0.0,22
7.0,1.0,0.0,25.27,1.0,,0.0,22
6.0,1.0,1.0,13.32,1.0,1.0,2.0,22
4.0,1.0,1.0,339.69,1.0,0.5,10.0,13431
9.0,1.0,0.0,7.76,1.0,,0.0,13431
7.0,0.0,0.0,0.0,,,0.0,13431
2.0,1.0,0.0,15.93,1.0,,0.0,24
1.0,1.0,1.0,12.94,1.0,1.0,10.0,24
6.0,1.0,1.0,28.29,1.0,1.0,4.0,24
4.0,1.0,1.0,47.14,1.0,1.0,10.0,25
9.0,1.0,1.0,27.23,1.0,1.0,2.0,25
1.0,1.0,1.0,28.48,1.0,1.0,10.0,25
3.0,1.0,0.0,0.0,1.0,,0.0,25
4.0,1.0,0.0,0.8700000000000001,1.0,,0.0,26
9.0,0.0,0.0,0.0,,,0.0,26
3.0,1.0,0.0,11.240000000000002,1.0,,0.0,26
0.0,1.0,0.0,5.59,1.0,,0.0,26
6.0,1.0,1.0,10.739999999999998,1.0,1.0,2.0,26
9.0,1.0,1.0,12.19,1.0,1.0,2.0,29
7.0,1.0,0.0,7.720000000000001,1.0,,0.0,29
6.0,1.0,1.0,9.32,1.0,1.0,2.0,29
4.0,1.0,1.0,28.82,1.0,1.0,5.0,32
5.0,1.0,1.0,20.63,1.0,1.0,3.0,32
2.0,1.0,0.0,0.0,1.0,,0.0,32
1.0,1.0,1.0,26.68,1.0,1.0,20.0,32
0.0,1.0,0.0,0.0,1.0,,0.0,32
5.0,0.0,1.0,0.0,,0.0,3.0,33
9.0,0.0,1.0,0.0,,0.0,2.0,33
7.0,1.0,0.0,0.0,1.0,,0.0,33
3.0,0.0,1.0,0.0,,0.0,5.0,33
8.0,1.0,1.0,22.05,1.0,1.0,5.0,33
7.0,1.0,0.0,0.0,1.0,,0.0,34
3.0,1.0,1.0,0.0,1.0,0.0,5.0,34
0.0,1.0,0.0,4.75,1.0,,0.0,34
8.0,1.0,0.0,5.47,1.0,,0.0,34
2.0,1.0,0.0,22.130000000000003,1.0,,0.0,35
1.0,1.0,1.0,19.88,1.0,1.0,10.0,35
7.0,1.0,0.0,0.0,0.0,,0.0,35
3.0,1.0,1.0,19.92,1.0,1.0,10.0,35
0.0,1.0,1.0,18.48,1.0,1.0,10.0,35
9.0,0.0,1.0,0.0,,0.0,2.0,36
7.0,1.0,0.0,1.22,1.0,,0.0,36
0.0,0.0,0.0,0.0,,,0.0,36
8.0,1.0,1.0,5.5,1.0,1.0,5.0,36
5.0,1.0,1.0,10.68,1.0,1.0,3.0,38
7.0,1.0,0.0,6.12,1.0,,0.0,38
6.0,1.0,1.0,11.420000000000002,1.0,1.0,2.0,38
5.0,1.0,0.0,0.0,1.0,,0.0,39
9.0,0.0,0.0,0.0,,,0.0,39
1.0,1.0,0.0,0.4,1.0,,0.0,39
7.0,1.0,0.0,0.0,1.0,,0.0,39
8.0,1.0,1.0,8.06,1.0,1.0,5.0,39
6.0,1.0,0.0,0.0,1.0,,0.0,39
5.0,1.0,1.0,9.56,1.0,1.0,3.0,40
9.0,1.0,1.0,115.0,1.0,1.0,2.0,40
8.0,1.0,1.0,5.79,1.0,1.0,5.0,40
4.0,0.0,0.0,0.0,,,0.0,41
0.0,1.0,0.0,25.49,1.0,,0.0,41
5.0,1.0,1.0,3.33,1.0,1.0,3.0,42
2.0,1.0,0.0,11.25,1.0,,0.0,42
1.0,1.0,1.0,27.86,1.0,1.0,10.0,42
3.0,1.0,1.0,6.01,1.0,1.0,5.0,42
4.0,1.0,0.0,7.84,1.0,,0.0,45
8.0,1.0,0.0,6.09,1.0,,0.0,45
6.0,1.0,1.0,10.129999999999999,1.0,1.0,2.0,45
2.0,1.0,0.0,26.75,1.0,,0.0,47
1.0,1.0,1.0,38.82,1.0,1.0,10.0,47
7.0,1.0,0.0,0.0,0.0,,0.0,47
3.0,0.0,0.0,0.0,,,0.0,47
8.0,1.0,1.0,19.36,1.0,1.0,5.0,47
6.0,1.0,1.0,23.32,1.0,1.0,2.0,47
4.0,0.0,0.0,0.0,,,0.0,48
2.0,0.0,0.0,0.0,,,0.0,48
1.0,1.0,0.0,11.64,1.0,,0.0,48
7.0,1.0,0.0,15.26,1.0,,0.0,48
8.0,1.0,1.0,7.16,1.0,1.0,5.0,48
9.0,0.0,1.0,0.0,,0.0,2.0,50
3.0,1.0,0.0,8.34,1.0,,0.0,50
0.0,1.0,1.0,134.51,1.0,1.0,10.0,50
1.0,1.0,0.0,0.0,1.0,,0.0,51
7.0,1.0,0.0,7.93,1.0,,0.0,51
3.0,1.0,1.0,17.26,1.0,1.0,5.0,51
0.0,1.0,0.0,7.46,1.0,,0.0,51
4.0,0.0,0.0,0.0,,,0.0,292
9.0,1.0,1.0,20.16,1.0,1.0,2.0,292
1.0,1.0,1.0,11.84,1.0,1.0,10.0,292
6.0,1.0,1.0,0.0,1.0,1.0,2.0,292
4.0,0.0,0.0,0.0,,,0.0,299
3.0,1.0,1.0,17.2,1.0,1.0,5.0,299
0.0,1.0,1.0,18.01,1.0,1.0,10.0,299
4.0,1.0,1.0,21.13,1.0,1.0,5.0,55
5.0,1.0,1.0,18.42,1.0,1.0,3.0,55
9.0,1.0,1.0,34.56,1.0,1.0,2.0,55
1.0,1.0,1.0,24.3,1.0,1.0,10.0,55
5.0,1.0,0.0,4.08,1.0,,0.0,56
9.0,1.0,0.0,5.15,1.0,,0.0,56
2.0,1.0,0.0,3.47,1.0,,0.0,56
4.0,1.0,1.0,31.310000000000002,1.0,1.0,5.0,309
7.0,1.0,0.0,0.0,1.0,,0.0,309
3.0,1.0,1.0,8.57,1.0,1.0,10.0,309
4.0,1.0,1.0,26.08,1.0,1.0,5.0,58
1.0,1.0,1.0,26.33,1.0,1.0,10.0,58
0.0,1.0,1.0,0.0,1.0,0.0,10.0,58
8.0,1.0,1.0,38.23,1.0,1.0,5.0,58
6.0,1.0,1.0,0.0,1.0,1.0,2.0,58
5.0,1.0,1.0,28.78,1.0,1.0,6.0,61
8.0,1.0,1.0,8.7,1.0,1.0,5.0,61
6.0,1.0,1.0,0.0,1.0,0.0,2.0,61
9.0,1.0,1.0,12.4,1.0,1.0,2.0,62
0.0,1.0,1.0,13.3,1.0,1.0,10.0,62
6.0,1.0,1.0,22.61,1.0,1.0,2.0,62
4.0,0.0,0.0,0.0,,,0.0,9885
1.0,1.0,0.0,4.279999999999999,1.0,,0.0,9885
3.0,0.0,0.0,0.0,,,0.0,9885
6.0,1.0,1.0,10.41,1.0,0.5,4.0,9885
5.0,1.0,1.0,21.91,1.0,1.0,3.0,65
9.0,1.0,1.0,0.0,1.0,1.0,2.0,65
1.0,1.0,1.0,0.0,1.0,0.0,10.0,65
8.0,1.0,1.0,43.22,1.0,1.0,10.0,65
9.0,1.0,1.0,12.4,1.0,1.0,2.0,66
7.0,1.0,0.0,13.69,1.0,,0.0,66
3.0,1.0,1.0,0.0,1.0,0.0,5.0,66
5.0,1.0,1.0,36.32,1.0,1.0,6.0,67
7.0,1.0,0.0,45.3,1.0,,0.0,67
8.0,1.0,1.0,12.52,1.0,1.0,5.0,67
6.0,1.0,1.0,20.38,1.0,1.0,2.0,67
9.0,1.0,1.0,26.4,1.0,1.0,2.0,69
7.0,1.0,0.0,0.0,1.0,,0.0,69
0.0,0.0,0.0,0.0,,,0.0,69
5.0,1.0,1.0,26.57,1.0,1.0,3.0,71
9.0,0.0,1.0,0.0,,0.0,4.0,71
1.0,1.0,1.0,21.15,1.0,1.0,10.0,71
7.0,1.0,0.0,14.08,1.0,,0.0,71
0.0,1.0,1.0,10.41,1.0,1.0,10.0,71
1.0,1.0,1.0,35.91,1.0,1.0,20.0,72
3.0,1.0,1.0,17.09,1.0,1.0,5.0,72
0.0,1.0,1.0,26.65,1.0,1.0,10.0,72
6.0,0.0,1.0,0.0,,0.0,2.0,72
4.0,0.0,0.0,0.0,,,0.0,73
9.0,0.0,0.0,0.0,,,0.0,73
8.0,1.0,0.0,4.83,1.0,,0.0,73
6.0,1.0,1.0,10.52,1.0,1.0,2.0,73
5.0,1.0,1.0,33.38,1.0,1.0,3.0,74
9.0,1.0,0.0,0.0,1.0,,0.0,74
2.0,1.0,0.0,0.0,1.0,,0.0,74
6.0,1.0,1.0,0.0,1.0,1.0,2.0,74
4.0,1.0,1.0,28.32,1.0,1.0,5.0,76
8.0,1.0,1.0,17.04,1.0,1.0,5.0,76
6.0,1.0,1.0,16.68,1.0,0.5,4.0,76
5.0,1.0,1.0,8.18,1.0,1.0,3.0,444
7.0,1.0,0.0,0.0,1.0,,0.0,444
0.0,1.0,0.0,5.3100000000000005,1.0,,0.0,444
6.0,1.0,1.0,18.18,1.0,1.0,2.0,444
4.0,0.0,0.0,0.0,,,0.0,82
7.0,1.0,0.0,10.01,1.0,,0.0,82
8.0,1.0,0.0,8.48,1.0,,0.0,82
6.0,1.0,1.0,10.09,1.0,1.0,2.0,82
2.0,0.0,0.0,0.0,,,0.0,83
7.0,1.0,0.0,0.0,1.0,,0.0,83
8.0,1.0,0.0,4.16,1.0,,0.0,83
5.0,1.0,1.0,24.19,1.0,1.0,3.0,85
9.0,1.0,0.0,0.0,1.0,,0.0,85
7.0,1.0,0.0,0.0,0.0,,0.0,85
0.0,1.0,1.0,0.0,1.0,0.0,10.0,85
8.0,1.0,1.0,0.0,1.0,0.0,5.0,85
5.0,1.0,1.0,29.59,1.0,1.0,3.0,86
2.0,0.0,0.0,0.0,,,0.0,86
6.0,1.0,1.0,106.8,1.0,1.0,6.0,86
4.0,0.0,0.0,0.0,,,0.0,14173
9.0,1.0,1.0,17.72,1.0,1.0,2.0,14173
3.0,1.0,0.0,9.219999999999999,1.0,,0.0,14173
8.0,1.0,0.0,4.98,1.0,,0.0,14173
2.0,1.0,0.0,85.58000000000001,1.0,,0.0,88
1.0,1.0,1.0,25.65,1.0,1.0,30.0,88
7.0,1.0,0.0,0.0,1.0,,0.0,88
1.0,0.0,0.0,0.0,,,0.0,89
0.0,1.0,0.0,40.64,1.0,,0.0,89
6.0,1.0,1.0,11.49,1.0,0.5,4.0,89
5.0,1.0,0.0,0.0,1.0,,0.0,90
8.0,1.0,0.0,0.0,1.0,,0.0,90
5.0,1.0,1.0,19.96,1.0,1.0,3.0,91
7.0,1.0,0.0,0.0,1.0,,0.0,91
3.0,1.0,1.0,15.21,1.0,1.0,5.0,91
0.0,1.0,1.0,15.4,1.0,1.0,10.0,91
5.0,1.0,1.0,29.03,1.0,1.0,3.0,43
1.0,1.0,1.0,0.0,1.0,0.0,10.0,43
3.0,1.0,1.0,0.0,1.0,0.0,5.0,43
8.0,1.0,0.0,0.0,1.0,,0.0,43
1.0,1.0,1.0,18.67,1.0,1.0,10.0,552
7.0,1.0,0.0,31.08,1.0,,0.0,552
8.0,1.0,1.0,29.0,1.0,1.0,5.0,552
6.0,1.0,1.0,18.31,1.0,1.0,4.0,552
4.0,0.0,0.0,0.0,,,0.0,95
1.0,1.0,0.0,4.74,1.0,,0.0,95
7.0,1.0,0.0,6.82,1.0,,0.0,95
6.0,1.0,1.0,1.22,1.0,1.0,2.0,95
2.0,1.0,0.0,0.38,1.0,,0.0,96
7.0,1.0,0.0,3.51,1.0,,0.0,96
0.0,1.0,0.0,4.72,1.0,,0.0,96
6.0,1.0,1.0,7.510000000000001,1.0,1.0,2.0,96
5.0,1.0,1.0,18.81,1.0,0.5,6.0,97
9.0,1.0,1.0,22.75,1.0,1.0,2.0,97
7.0,1.0,0.0,0.0,1.0,,0.0,97
8.0,1.0,1.0,0.0,1.0,0.0,5.0,97
4.0,0.0,0.0,0.0,,,0.0,98
7.0,0.0,0.0,0.0,,,0.0,98
0.0,1.0,1.0,0.0,0.0,0.0,10.0,98
4.0,0.0,0.0,0.0,,,0.0,99
9.0,0.0,1.0,0.0,,0.0,2.0,99
2.0,0.0,0.0,0.0,,,0.0,99
0.0,0.0,0.0,0.0,,,0.0,99
4.0,0.0,0.0,0.0,,,0.0,101
2.0,0.0,0.0,0.0,,,0.0,101
1.0,1.0,0.0,0.0,1.0,,0.0,101
0.0,1.0,0.0,1.96,1.0,,0.0,101
6.0,1.0,0.0,3.12,1.0,,0.0,101
5.0,1.0,1.0,9.07,1.0,1.0,6.0,102
9.0,0.0,1.0,0.0,,0.0,2.0,102
2.0,1.0,0.0,26.96,1.0,,0.0,102
1.0,1.0,1.0,17.59,1.0,1.0,10.0,102
8.0,1.0,1.0,16.0,1.0,1.0,5.0,102
5.0,1.0,0.0,0.0,1.0,,0.0,103
9.0,0.0,0.0,0.0,,,0.0,103
2.0,1.0,0.0,0.0,0.0,,0.0,103
1.0,0.0,0.0,0.0,,,0.0,103
7.0,0.0,0.0,0.0,,,0.0,103
5.0,1.0,0.0,0.0,1.0,,0.0,104
1.0,1.0,0.0,0.0,1.0,,0.0,104
7.0,1.0,0.0,0.0,1.0,,0.0,104
0.0,1.0,0.0,0.0,1.0,,0.0,104
8.0,1.0,0.0,1.04,1.0,,0.0,104
4.0,0.0,0.0,0.0,,,0.0,105
2.0,0.0,0.0,0.0,,,0.0,105
3.0,1.0,1.0,0.0,1.0,0.0,5.0,105
6.0,1.0,1.0,22.49,1.0,1.0,4.0,105
5.0,1.0,1.0,20.02,1.0,1.0,3.0,106
2.0,1.0,0.0,16.1,1.0,,0.0,106
