,offer_id_rec,viewed_rate,completed_rate,tra_offer_infl,valid_view_rate,completed_after_view_rate,reward_won,offer_reward,offer_difficulty,offer_type,user_id
0,4,0,0,0,,,0.0,5,20,discount,9384
1,3,1,0,18,1.0,,0.0,5,5,bogo,9384
2,0,1,0,0,1.0,,0.0,10,10,bogo,9384
0,5,1,1,12,1.0,1.0,3.0,3,7,discount,11213
1,2,1,0,1,0.6666666666666666,,0.0,0,0,informational,11213
2,6,1,1,10,1.0,1.0,2.0,2,10,discount,11213
0,4,1,0,0,1.0,,0.0,5,20,discount,13534
1,5,1,1,21,1.0,1.0,3.0,3,7,discount,13534
2,9,1,0,0,1.0,,0.0,2,10,discount,13534
3,1,1,1,0,1.0,0.0,10.0,10,10,bogo,13534
4,8,1,1,21,1.0,1.0,5.0,5,5,bogo,13534
0,0,1,0,11,1.0,,0.0,10,10,bogo,11827
1,6,1,0,9,1.0,,0.0,2,10,discount,11827
0,5,1,1,24,1.0,1.0,3.0,3,7,discount,9286
1,1,1,1,56,1.0,1.0,10.0,10,10,bogo,9286
2,3,1,1,22,1.0,0.0,5.0,5,5,bogo,9286
3,0,1,1,45,1.0,1.0,10.0,10,10,bogo,9286
4,6,1,1,37,1.0,1.0,2.0,2,10,discount,9286
0,2,1,0,7,1.0,,0.0,0,0,informational,9352
1,3,0,0,0,,,0.0,5,5,bogo,9352
2,0,0,0,0,,,0.0,10,10,bogo,9352
3,6,1,0,5,1.0,,0.0,2,10,discount,9352
0,5,1,1,48,1.0,0.0,3.0,3,7,discount,13474
1,2,0,0,0,,,0.0,0,0,informational,13474
2,1,1,0,8,1.0,,0.0,10,10,bogo,13474
0,5,1,1,38,1.0,0.0,3.0,3,7,discount,11415
1,2,1,0,0,1.0,,0.0,0,0,informational,11415
2,1,1,1,10,1.0,0.0,10.0,10,10,bogo,11415
3,8,1,1,17,1.0,0.0,5.0,5,5,bogo,11415
4,6,1,1,69,1.0,1.0,4.0,2,10,discount,11415
0,4,0,0,0,,,0.0,5,20,discount,10752
1,1,1,0,0,1.0,,0.0,10,10,bogo,10752
2,0,1,1,19,1.0,1.0,10.0,10,10,bogo,10752
3,6,1,1,20,1.0,1.0,2.0,2,10,discount,10752
0,9,1,1,17,1.0,1.0,2.0,2,10,discount,13278
1,1,1,1,7,1.0,0.0,10.0,10,10,bogo,13278
2,7,0,0,0,,,0.0,0,0,informational,13278
3,8,1,1,10,1.0,1.0,5.0,5,5,bogo,13278
0,4,0,1,0,,0.0,5.0,5,20,discount,13669
1,3,1,1,54,1.0,1.0,5.0,5,5,bogo,13669
2,6,1,1,175,1.0,0.6666666666666666,6.0,2,10,discount,13669
0,4,0,0,0,,,0.0,5,20,discount,13448
1,2,1,0,0,0.0,,0.0,0,0,informational,13448
2,0,1,1,90,1.0,1.0,10.0,10,10,bogo,13448
0,2,0,0,0,,,0.0,0,0,informational,12614
1,3,0,0,0,,,0.0,5,5,bogo,12614
2,0,1,0,1,1.0,,0.0,10,10,bogo,12614
0,1,1,0,3,1.0,,0.0,10,10,bogo,10840
1,8,1,0,2,1.0,,0.0,5,5,bogo,10840
2,6,1,0,4,1.0,,0.0,2,10,discount,10840
0,5,1,1,128,1.0,0.0,3.0,3,7,discount,9345
1,7,1,0,0,1.0,,0.0,0,0,informational,9345
2,3,1,1,100,1.0,1.0,5.0,5,5,bogo,9345
3,0,1,1,48,1.0,1.0,10.0,10,10,bogo,9345
4,8,1,1,24,1.0,1.0,5.0,5,5,bogo,9345
0,2,1,0,6,1.0,,0.0,0,0,informational,13068
1,1,1,0,7,1.0,,0.0,10,10,bogo,13068
2,3,1,1,6,1.0,1.0,5.0,5,5,bogo,13068
3,8,1,1,0,1.0,0.0,5.0,5,5,bogo,13068
0,4,0,1,0,,0.0,5.0,5,20,discount,10063
1,9,1,1,33,1.0,1.0,2.0,2,10,discount,10063
2,2,0,0,0,,,0.0,0,0,informational,10063
3,3,1,1,35,1.0,0.0,5.0,5,5,bogo,10063
0,9,1,1,32,1.0,1.0,2.0,2,10,discount,12245
1,0,1,0,0,1.0,,0.0,10,10,bogo,12245
2,8,1,0,0,1.0,,0.0,5,5,bogo,12245
0,9,0,0,0,,,0.0,2,10,discount,11287
1,7,1,0,0,0.0,,0.0,0,0,informational,11287
2,3,1,0,9,1.0,,0.0,5,5,bogo,11287
3,0,1,0,5,1.0,,0.0,10,10,bogo,11287
0,5,1,1,14,1.0,1.0,3.0,3,7,discount,11160
1,7,0,0,0,,,0.0,0,0,informational,11160
2,3,1,0,4,1.0,,0.0,5,5,bogo,11160
3,8,1,0,3,1.0,,0.0,5,5,bogo,11160
0,5,1,0,2,1.0,,0.0,3,7,discount,10601
1,2,0,0,0,,,0.0,0,0,informational,10601
2,7,1,0,0,0.0,,0.0,0,0,informational,10601
3,0,1,1,20,1.0,1.0,10.0,10,10,bogo,10601
4,6,1,1,31,1.0,1.0,2.0,2,10,discount,10601
0,7,1,0,0,1.0,,0.0,0,0,informational,10395
1,3,0,0,0,,,0.0,5,5,bogo,10395
2,0,0,1,0,,0.0,10.0,10,10,bogo,10395
0,9,0,1,0,,0.0,2.0,2,10,discount,11050
1,2,1,0,0,1.0,,0.0,0,0,informational,11050
2,7,1,0,30,1.0,,0.0,0,0,informational,11050
3,3,1,1,37,1.0,1.0,5.0,5,5,bogo,11050
4,8,1,1,0,1.0,0.0,5.0,5,5,bogo,11050
0,9,0,1,0,,0.0,2.0,2,10,discount,9479
1,0,0,1,0,,0.0,10.0,10,10,bogo,9479
2,8,1,1,38,1.0,1.0,5.0,5,5,bogo,9479
0,5,1,0,5,1.0,,0.0,3,7,discount,12370
1,1,1,0,0,1.0,,0.0,10,10,bogo,12370
2,7,1,0,1,1.0,,0.0,0,0,informational,12370
0,2,1,0,0,1.0,,0.0,0,0,informational,6259
1,1,1,0,0,1.0,,0.0,10,10,bogo,6259
2,3,1,1,12,1.0,1.0,5.0,5,5,bogo,6259
3,8,1,0,0,1.0,,0.0,5,5,bogo,6259
4,6,1,1,38,1.0,1.0,2.0,2,10,discount,6259
0,9,0,1,0,,0.0,4.0,2,10,discount,12405
1,0,1,1,123,1.0,1.0,10.0,10,10,bogo,12405
0,4,1,1,4,1.0,1.0,5.0,5,20,discount,13035
1,5,1,1,13,1.0,1.0,3.0,3,7,discount,13035
2,9,1,1,16,1.0,1.0,2.0,2,10,discount,13035
3,2,1,0,0,1.0,,0.0,0,0,informational,13035
0,5,1,1,8,1.0,1.0,3.0,3,7,discount,10634
1,9,0,0,0,,,0.0,2,10,discount,10634
2,1,1,0,1,1.0,,0.0,10,10,bogo,10634
3,0,1,0,3,1.0,,0.0,10,10,bogo,10634
4,8,1,0,1,1.0,,0.0,5,5,bogo,10634
5,6,1,1,10,1.0,1.0,2.0,2,10,discount,10634
