,offer_id_rec,viewed_rate,completed_rate,tra_offer_infl,valid_view_rate,completed_after_view_rate,reward_won,offer_reward,offer_difficulty,offer_type,user_id
0,7.0,1.0,0.0,49.0,1.0,,0.0,0.0,0.0,informational,3
1,3.0,1.0,1.0,37.0,1.0,1.0,5.0,5.0,5.0,bogo,3
2,0.0,1.0,1.0,48.0,1.0,1.0,10.0,10.0,10.0,bogo,3
3,8.0,1.0,1.0,0.0,1.0,0.0,5.0,5.0,5.0,bogo,3
4,4.0,1.0,0.0,1.0,1.0,,0.0,5.0,20.0,discount,4
5,2.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,4
6,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,4
7,9.0,1.0,0.0,0.0,1.0,,0.0,2.0,10.0,discount,5
8,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,5
9,3.0,1.0,1.0,18.0,1.0,1.0,5.0,5.0,5.0,bogo,5
10,6.0,1.0,1.0,0.0,1.0,0.0,2.0,2.0,10.0,discount,5
11,9.0,1.0,0.0,0.0,1.0,,0.0,2.0,10.0,discount,6
12,2.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,6
13,1.0,1.0,0.0,0.0,1.0,,0.0,10.0,10.0,bogo,6
14,6.0,1.0,0.0,0.0,1.0,,0.0,2.0,10.0,discount,6
15,5.0,1.0,0.0,0.0,1.0,,0.0,3.0,7.0,discount,7
16,9.0,1.0,0.0,0.0,1.0,,0.0,2.0,10.0,discount,7
17,1.0,1.0,0.0,0.0,1.0,,0.0,10.0,10.0,bogo,7
18,3.0,1.0,0.0,0.0,1.0,,0.0,5.0,5.0,bogo,7
19,0.0,0.0,0.0,0.0,,,0.0,10.0,10.0,bogo,7
20,9.0,1.0,1.0,15.0,1.0,1.0,2.0,2.0,10.0,discount,8
21,3.0,1.0,1.0,15.0,1.0,1.0,5.0,5.0,5.0,bogo,8
22,8.0,1.0,1.0,20.0,1.0,1.0,10.0,5.0,5.0,bogo,8
23,6.0,1.0,1.0,11.0,1.0,1.0,2.0,2.0,10.0,discount,8
24,5.0,1.0,0.0,5.0,1.0,,0.0,3.0,7.0,discount,10
25,0.0,1.0,1.0,0.0,1.0,0.0,10.0,10.0,10.0,bogo,10
26,5.0,1.0,0.0,2.0,1.0,,0.0,3.0,7.0,discount,12
27,2.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,12
28,6.0,1.0,1.0,13.0,1.0,1.0,2.0,2.0,10.0,discount,12
29,4.0,1.0,0.0,12.0,1.0,,0.0,5.0,20.0,discount,13
30,1.0,1.0,1.0,12.0,1.0,1.0,10.0,10.0,10.0,bogo,13
31,7.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,13
32,0.0,1.0,1.0,44.0,1.0,0.0,10.0,10.0,10.0,bogo,13
33,8.0,1.0,1.0,12.0,1.0,1.0,5.0,5.0,5.0,bogo,13
34,4.0,1.0,0.0,0.0,1.0,,0.0,5.0,20.0,discount,15
35,5.0,1.0,1.0,125.0,1.0,0.5,6.0,3.0,7.0,discount,15
36,6.0,1.0,1.0,69.0,1.0,1.0,2.0,2.0,10.0,discount,15
37,4.0,1.0,0.0,0.0,1.0,,0.0,5.0,20.0,discount,17
38,5.0,1.0,0.0,0.0,1.0,,0.0,3.0,7.0,discount,17
39,1.0,1.0,0.0,0.0,1.0,,0.0,10.0,10.0,bogo,17
40,7.0,1.0,0.0,0.0,1.0,,0.0,0.0,0.0,informational,17
41,0.0,1.0,0.0,0.0,1.0,,0.0,10.0,10.0,bogo,17
42,4.0,1.0,0.0,3.0,1.0,,0.0,5.0,20.0,discount,3746
43,9.0,1.0,0.0,2.0,1.0,,0.0,2.0,10.0,discount,3746
44,8.0,1.0,0.0,7.0,1.0,,0.0,5.0,5.0,bogo,3746
45,4.0,1.0,1.0,109.0,1.0,1.0,5.0,5.0,20.0,discount,21
46,2.0,1.0,0.0,30.0,1.0,,0.0,0.0,0.0,informational,21
47,0.0,1.0,1.0,0.0,1.0,0.0,10.0,10.0,10.0,bogo,21
48,2.0,1.0,0.0,54.0,1.0,,0.0,0.0,0.0,informational,22
49,1.0,1.0,0.0,0.0,1.0,,0.0,10.0,10.0,bogo,22
50,7.0,1.0,0.0,25.0,1.0,,0.0,0.0,0.0,informational,22
51,6.0,1.0,1.0,54.0,1.0,1.0,2.0,2.0,10.0,discount,22
52,4.0,1.0,1.0,51.0,1.0,0.0,10.0,5.0,20.0,discount,13431
53,9.0,1.0,0.0,7.0,1.0,,0.0,2.0,10.0,discount,13431
54,7.0,0.0,0.0,0.0,,,0.0,0.0,0.0,informational,13431
55,2.0,1.0,0.0,15.0,1.0,,0.0,0.0,0.0,informational,24
56,1.0,1.0,1.0,28.0,1.0,1.0,10.0,10.0,10.0,bogo,24
57,6.0,1.0,1.0,75.0,1.0,1.0,4.0,2.0,10.0,discount,24
58,4.0,1.0,1.0,75.0,1.0,1.0,10.0,5.0,20.0,discount,25
59,9.0,1.0,1.0,27.0,1.0,1.0,2.0,2.0,10.0,discount,25
60,1.0,1.0,1.0,28.0,1.0,1.0,10.0,10.0,10.0,bogo,25
61,3.0,1.0,0.0,0.0,1.0,,0.0,5.0,5.0,bogo,25
62,4.0,1.0,0.0,0.0,1.0,,0.0,5.0,20.0,discount,26
63,9.0,0.0,0.0,0.0,,,0.0,2.0,10.0,discount,26
64,3.0,1.0,0.0,11.0,1.0,,0.0,5.0,5.0,bogo,26
65,0.0,1.0,0.0,16.0,1.0,,0.0,10.0,10.0,bogo,26
66,6.0,1.0,1.0,11.0,1.0,1.0,2.0,2.0,10.0,discount,26
67,9.0,1.0,1.0,24.0,1.0,1.0,2.0,2.0,10.0,discount,29
68,7.0,1.0,0.0,7.0,1.0,,0.0,0.0,0.0,informational,29
