person,trans_amount
3,159.27
4,4.6499999999999995
5,57.730000000000004
6,0.0
7,0.24
8,36.43
10,66.41
12,15.62
13,85.55
15,160.25
17,3.9999999999999996
3746,17.03
21,211.29000000000002
22,155.46
13431,428.22
24,91.4
25,75.62
26,31.909999999999997
29,52.08
32,106.38
33,81.92
34,40.94
35,213.49
36,21.819999999999997
38,73.38000000000001
39,12.000000000000002
40,155.53
41,29.89
42,61.25
45,51.71
47,249.4
48,51.91000000000001
50,152.0
51,56.08
292,55.99
299,191.59
55,320.48
56,16.930000000000003
309,104.79000000000002
58,225.55
61,150.23000000000002
62,121.61999999999999
9885,43.84
65,177.18
66,135.54000000000002
67,200.77999999999997
69,110.92
71,167.88
72,303.2
73,20.18
74,67.25
76,290.41999999999996
444,31.67
82,29.560000000000006
83,8.17
85,109.16000000000001
86,298.3
14173,37.730000000000004
88,126.94
89,57.029999999999994
90,0.0
91,184.78
43,234.43
552,370.27
95,23.43
96,16.46
97,297.29
98,80.03
99,34.04
101,11.51
102,200.93
103,21.4
104,1.09
105,202.75
106,163.53
107,201.92000000000002
108,25.14
109,224.76
110,117.91999999999999
111,30.729999999999997
112,705.5000000000001
113,163.71000000000004
114,184.82
116,275.60999999999996
117,138.84
656,0.0
120,40.94
121,22.919999999999998
122,15.02
123,51.37000000000001
124,30.139999999999997
125,50.349999999999994
126,16.77
127,13.799999999999999
129,30.479999999999997
739,488.77
132,24.93
133,317.03
764,2.96
135,272.22999999999996
776,74.27000000000001
139,60.25
141,53.21
145,193.10000000000002
146,74.17
147,0.87
4220,77.87
151,562.77
153,17.19
154,53.74000000000001
155,8.14
156,30.470000000000002
158,33.07
159,5.4
160,150.94
161,106.91
162,33.46
163,25.9
164,19.799999999999997
653,91.75999999999999
166,105.58000000000001
168,180.0
170,177.09
171,330.9200000000001
173,58.18
174,66.05
1044,83.79
177,12.120000000000001
1053,2.66
1057,15.15
182,87.13
184,184.96
190,226.68
193,17.700000000000003
5636,14.2
195,21.5
196,17.38
197,155.42
199,10.099999999999998
200,212.26999999999998
201,146.48999999999998
202,0.0
203,232.19000000000003
1250,196.12
207,218.67000000000002
208,185.60999999999999
1272,26.919999999999998
5638,145.2
211,10.54
212,163.17999999999998
213,6.99
1304,12.06
216,10.759999999999998
217,19.06
218,69.32
219,0.0
220,321.03000000000003
221,8.43
222,254.69000000000003
